2025-06-29 19:10:52,035 |     INFO | AIOS_Runtime_AIOS_20250629_191051_57c4794e | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250629_191051_57c4794e", "base_path": "c:\\dev\\AIOS", "start_time": "2025-06-29T19:10:52.000578"}
2025-06-29 19:10:53,808 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.26533333333333337 | Context: {}
2025-06-29 19:10:53,865 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.8077631578947367 | Context: {}
2025-06-29 19:10:53,934 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.4242091503267974 | Context: {}
2025-06-29 19:10:53,935 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric generation_1_fitness: 0.8799999999999999 | Context: {}
2025-06-29 19:10:53,997 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.26533333333333337 | Context: {}
2025-06-29 19:10:54,052 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.26133333333333336 | Context: {}
2025-06-29 19:10:54,125 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.8685087719298246 | Context: {}
2025-06-29 19:10:54,179 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.26133333333333336 | Context: {}
2025-06-29 19:10:54,239 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.26133333333333336 | Context: {}
2025-06-29 19:10:54,296 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.26533333333333337 | Context: {}
2025-06-29 19:10:54,358 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric overall_fitness: 0.26533333333333337 | Context: {}
2025-06-29 19:10:54,359 |    DEBUG | AIOS_Runtime_AIOS_20250629_191051_57c4794e | EvolutionaryMutator::performance_metric | Performance metric generation_2_fitness: 0.8799999999999999 | Context: {}
