2025-06-29 18:40:49,718 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250629_184049_81e7fc9b", "base_path": "c:\\dev\\AIOS", "start_time": "2025-06-29T18:40:49.683580"}
2025-06-29 18:40:51,240 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 741.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:51,290 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 963.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 18:40:51,342 |    DEBUG | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::holographic_density | Holographic information density: 100.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 18:40:51,392 |    DEBUG | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::holographic_density | Holographic information density: 500.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 18:40:51,443 |    DEBUG | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::holographic_density | Holographic information density: 1000.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 18:40:51,494 |    DEBUG | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::holographic_density | Holographic information density: 1500.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 18:40:51,544 |    DEBUG | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::holographic_density | Holographic information density: 2000.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 18:40:51,595 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.870 | Context: {"test_phase": "integration_test", "scenario": "complete_emergence"}
2025-06-29 18:40:51,596 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::quantum_coherence | Quantum coherence: 0.920 at 432.0Hz (stable) | Context: {"test_phase": "integration_test"}
2025-06-29 18:40:51,596 |    DEBUG | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | consciousness_test::holographic_density | Holographic information density: 1750.0 | Context: {"test_phase": "integration_test"}
2025-06-29 18:40:51,714 |     INFO | AIOS_Runtime_AIOS_20250629_184049_81e7fc9b | runtime_intelligence::system_shutdown | Runtime Intelligence System shutting down | Context: {}
