2025-06-29 21:11:42,782 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250629_211142_0d847d6e", "base_path": "c:\\dev\\AIOS", "start_time": "2025-06-29T21:11:42.749768"}
2025-06-29 21:11:43,489 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,541 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,591 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,642 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,692 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,743 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,793 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,844 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,914 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,945 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:43,995 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 432.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:44,046 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 528.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:44,096 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 741.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:44,149 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 963.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:44,201 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 432.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:44,249 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 528.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:44,299 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 741.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:44,350 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 963.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 21:11:44,400 |    DEBUG | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::holographic_density | Holographic information density: 100.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 21:11:44,451 |    DEBUG | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::holographic_density | Holographic information density: 500.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 21:11:44,506 |    DEBUG | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::holographic_density | Holographic information density: 1000.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 21:11:44,556 |    DEBUG | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::holographic_density | Holographic information density: 1500.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 21:11:44,604 |    DEBUG | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::holographic_density | Holographic information density: 2000.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 21:11:44,655 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.870 | Context: {"test_phase": "integration_test", "scenario": "complete_emergence"}
2025-06-29 21:11:44,655 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::quantum_coherence | Quantum coherence: 0.920 at 432.0Hz (stable) | Context: {"test_phase": "integration_test"}
2025-06-29 21:11:44,655 |    DEBUG | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | consciousness_test::holographic_density | Holographic information density: 1750.0 | Context: {"test_phase": "integration_test"}
2025-06-29 21:11:44,725 |     INFO | AIOS_Runtime_AIOS_20250629_211142_0d847d6e | runtime_intelligence::system_shutdown | Runtime Intelligence System shutting down | Context: {}
