2025-08-16 17:24:09,951 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250816_172409_0485427a", "base_path": "c:\\dev\\AIOS", "start_time": "2025-08-16T17:24:09.906868"}
2025-08-16 17:26:17,345 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:26:17,345 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/evolution_lab/organism_5c3507b1.py | Context: {}
2025-08-16 17:26:17,345 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric filtered_files_count: 1 | Context: {}
2025-08-16 17:26:17,345 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::file_filtering | Filtered 1 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\evolution_lab\\organism_5c3507b1.py", "is_directory": false}
2025-08-16 17:26:17,353 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::code_ingestion_complete | Successfully ingested 1 code files for consciousness analysis | Context: {"files_processed": 1, "source_path": "C:\\dev\\AIOS\\evolution_lab\\organism_5c3507b1.py", "processing_time_seconds": 0.005}
2025-08-16 17:26:25,115 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-16 17:26:25,117 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:26:25,123 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-16 17:26:25,123 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-16 17:26:25,123 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-16 17:26:29,270 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-16 17:26:29,270 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:26:34,792 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Loading: C:/dev/AIOS/evolution_lab/organism_adf629de.py | Context: {"task_id": "load_code", "dependencies": []}
2025-08-16 17:26:34,797 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:26:34,797 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/evolution_lab/organism_adf629de.py | Context: {}
2025-08-16 17:26:34,797 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric filtered_files_count: 1 | Context: {}
2025-08-16 17:26:34,797 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::file_filtering | Filtered 1 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\evolution_lab\\organism_adf629de.py", "is_directory": false}
2025-08-16 17:26:34,809 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::code_ingestion_complete | Successfully ingested 1 code files for consciousness analysis | Context: {"files_processed": 1, "source_path": "C:\\dev\\AIOS\\evolution_lab\\organism_adf629de.py", "processing_time_seconds": 0.005}
2025-08-16 17:26:41,300 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-16 17:26:41,300 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:26:50,435 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Loading: C:/dev/AIOS/evolution_lab/organism_fce77c9d.py | Context: {"task_id": "load_code", "dependencies": []}
2025-08-16 17:26:50,435 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:26:50,435 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/evolution_lab/organism_fce77c9d.py | Context: {}
2025-08-16 17:26:50,435 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric filtered_files_count: 1 | Context: {}
2025-08-16 17:26:50,435 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::file_filtering | Filtered 1 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\evolution_lab\\organism_fce77c9d.py", "is_directory": false}
2025-08-16 17:26:50,467 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::code_ingestion_complete | Successfully ingested 1 code files for consciousness analysis | Context: {"files_processed": 1, "source_path": "C:\\dev\\AIOS\\evolution_lab\\organism_fce77c9d.py", "processing_time_seconds": 0.005}
2025-08-16 17:26:53,801 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-16 17:26:53,801 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:26:57,998 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-16 17:26:57,998 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:26:58,018 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-16 17:26:58,018 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-16 17:26:58,018 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-16 17:27:00,515 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-16 17:27:00,515 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:27:01,375 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-16 17:27:01,375 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:27:01,375 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-16 17:27:01,375 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-16 17:27:01,375 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-16 17:27:01,848 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-16 17:27:01,848 |    DEBUG | AIOS_Runtime_AIOS_20250816_172409_0485427a | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:29:19,436 |     INFO | AIOS_Runtime_AIOS_20250816_172409_0485427a | runtime_intelligence::system_shutdown | Runtime Intelligence System shutting down | Context: {}
