2025-08-16 17:48:44,319 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250816_174844_47b01432", "base_path": "c:\\dev\\AIOS", "start_time": "2025-08-16T17:48:44.284894"}
2025-08-16 17:49:30,094 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::task_start | Started task: Loading: C:/dev/AIOS/evolution_lab/artifacts/basic_calculator_1751218393.py | Context: {"task_id": "load_code", "dependencies": []}
2025-08-16 17:49:30,094 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::performance_metric | Performance metric active_tasks: 2 | Context: {}
2025-08-16 17:49:30,095 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/evolution_lab/artifacts/basic_calculator_1751218393.py | Context: {}
2025-08-16 17:49:30,095 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::performance_metric | Performance metric filtered_files_count: 1 | Context: {}
2025-08-16 17:49:30,095 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::file_filtering | Filtered 1 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\evolution_lab\\artifacts\\basic_calculator_1751218393.py", "is_directory": false}
2025-08-16 17:49:30,101 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::code_ingestion_complete | Successfully ingested 1 code files for consciousness analysis | Context: {"files_processed": 1, "source_path": "C:\\dev\\AIOS\\evolution_lab\\artifacts\\basic_calculator_1751218393.py", "processing_time_seconds": 0.005}
2025-08-16 17:49:38,883 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::task_dependency_wait | Task mutate_code waiting for dependencies | Context: {"dependencies": ["analyze_code"], "task_name": "Generating Consciousness Mutations"}
2025-08-16 17:49:56,018 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::task_dependency_wait | Task mutate_code waiting for dependencies | Context: {"dependencies": ["analyze_code"], "task_name": "Generating Consciousness Mutations"}
2025-08-16 17:50:09,056 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::task_start | Started task: Loading: C:/dev/AIOS/demo_opencv_integration.py | Context: {"task_id": "load_code", "dependencies": []}
2025-08-16 17:50:09,056 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::performance_metric | Performance metric active_tasks: 2 | Context: {}
2025-08-16 17:50:09,056 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/demo_opencv_integration.py | Context: {}
2025-08-16 17:50:09,057 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::performance_metric | Performance metric filtered_files_count: 1 | Context: {}
2025-08-16 17:50:09,057 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::file_filtering | Filtered 1 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\demo_opencv_integration.py", "is_directory": false}
2025-08-16 17:50:09,057 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::code_ingestion_complete | Successfully ingested 1 code files for consciousness analysis | Context: {"files_processed": 1, "source_path": "C:\\dev\\AIOS\\demo_opencv_integration.py", "processing_time_seconds": 0.005}
2025-08-16 17:50:11,682 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-16 17:50:11,682 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::performance_metric | Performance metric active_tasks: 3 | Context: {}
2025-08-16 17:50:11,713 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-16 17:50:11,713 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-16 17:50:11,713 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-16 17:50:13,620 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-16 17:50:13,620 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::performance_metric | Performance metric active_tasks: 3 | Context: {}
2025-08-16 17:50:20,625 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::task_start | Started task: Synchronizing All Modules | Context: {"task_id": "sync_modules", "dependencies": []}
2025-08-16 17:50:20,625 |    DEBUG | AIOS_Runtime_AIOS_20250816_174844_47b01432 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-16 17:50:29,406 |     INFO | AIOS_Runtime_AIOS_20250816_174844_47b01432 | runtime_intelligence::system_shutdown | Runtime Intelligence System shutting down | Context: {}
