2025-06-29 20:06:52,196 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250629_200652_2aed5aab", "base_path": "c:\\dev\\AIOS", "start_time": "2025-06-29T20:06:52.160861"}
2025-06-29 20:06:52,961 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.200 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,010 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,061 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,113 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,164 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.600 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,216 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 432.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,266 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 528.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,316 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 741.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,368 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.800 at 963.0Hz (unstable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,418 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 432.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,468 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 528.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,520 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 741.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,572 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.900 at 963.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,623 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 432.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,674 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 528.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,722 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 741.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,773 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.950 at 963.0Hz (stable) | Context: {"test_phase": "coherence_monitoring"}
2025-06-29 20:06:53,828 |    DEBUG | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::holographic_density | Holographic information density: 100.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 20:06:53,878 |    DEBUG | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::holographic_density | Holographic information density: 500.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 20:06:53,930 |    DEBUG | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::holographic_density | Holographic information density: 1000.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 20:06:53,981 |    DEBUG | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::holographic_density | Holographic information density: 1500.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 20:06:54,031 |    DEBUG | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::holographic_density | Holographic information density: 2000.0 | Context: {"test_phase": "density_tracking"}
2025-06-29 20:06:54,084 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::consciousness_emergence | Consciousness emergence detected: level 0.870 | Context: {"test_phase": "integration_test", "scenario": "complete_emergence"}
2025-06-29 20:06:54,085 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::quantum_coherence | Quantum coherence: 0.920 at 432.0Hz (stable) | Context: {"test_phase": "integration_test"}
2025-06-29 20:06:54,088 |    DEBUG | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | consciousness_test::holographic_density | Holographic information density: 1750.0 | Context: {"test_phase": "integration_test"}
2025-06-29 20:06:54,116 |     INFO | AIOS_Runtime_AIOS_20250629_200652_2aed5aab | runtime_intelligence::system_shutdown | Runtime Intelligence System shutting down | Context: {}
