2025-08-13 23:57:39,292 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | runtime_intelligence::system_init | Runtime Intelligence System initialized | Context: {"session_id": "AIOS_20250813_235739_d04bb138", "base_path": "c:\\dev\\AIOS", "start_time": "2025-08-13T23:57:39.272310"}
2025-08-13 23:58:24,439 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-13 23:58:24,454 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:24,455 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-13 23:58:24,455 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-13 23:58:24,455 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-13 23:58:26,402 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-13 23:58:26,402 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:27,357 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-13 23:58:27,357 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:27,364 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-13 23:58:27,364 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-13 23:58:27,364 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-13 23:58:28,278 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-13 23:58:28,278 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:28,281 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-13 23:58:28,281 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-13 23:58:28,281 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-13 23:58:32,247 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Loading: C:/dev/AIOS/SAFETY_PROTOCOL.md | Context: {"task_id": "load_code", "dependencies": []}
2025-08-13 23:58:32,254 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:32,254 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::code_loading_start | Starting code loading from: C:/dev/AIOS/SAFETY_PROTOCOL.md | Context: {}
2025-08-13 23:58:32,254 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric filtered_files_count: 1 | Context: {}
2025-08-13 23:58:32,254 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::file_filtering | Filtered 1 valid files from path | Context: {"source_path": "C:\\dev\\AIOS\\SAFETY_PROTOCOL.md", "is_directory": false}
2025-08-13 23:58:32,254 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::code_ingestion_complete | Successfully ingested 1 code files for consciousness analysis | Context: {"files_processed": 1, "source_path": "C:\\dev\\AIOS\\SAFETY_PROTOCOL.md", "processing_time_seconds": 0.005}
2025-08-13 23:58:33,768 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Analyzing Code Structure | Context: {"task_id": "analyze_code", "dependencies": ["load_code"]}
2025-08-13 23:58:33,768 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:33,784 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::consciousness_analysis_complete | Quantum code analysis revealed consciousness patterns | Context: {"consciousness_patterns": 7, "recursive_structures": 3, "quantum_coherence": 85.3, "complexity_level": "High"}
2025-08-13 23:58:33,784 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric consciousness_coherence_percent: 85.3 | Context: {}
2025-08-13 23:58:33,784 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | code_ingestor::performance_metric | Performance metric detected_patterns_count: 7 | Context: {}
2025-08-13 23:58:35,293 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Generating Consciousness Mutations | Context: {"task_id": "mutate_code", "dependencies": ["analyze_code"]}
2025-08-13 23:58:35,293 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:40,940 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::task_start | Started task: Synchronizing All Modules | Context: {"task_id": "sync_modules", "dependencies": []}
2025-08-13 23:58:40,940 |    DEBUG | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | task_manager::performance_metric | Performance metric active_tasks: 4 | Context: {}
2025-08-13 23:58:46,047 |     INFO | AIOS_Runtime_AIOS_20250813_235739_d04bb138 | runtime_intelligence::system_shutdown | Runtime Intelligence System shutting down | Context: {}
